,subject,body,department
948,Question about double billing on SmartSound Premium,"Hello, I noticed a double charge of $14.99 on my credit card on June 03 for my SmartSound Premium subscription. Could you please look into this?",Billing
949,Why was I charged twice for HomeAudio Pro?,I noticed a double charge of $14.99 on June 09 from my bank account. Can you explain this?,Billing
950,Inquiry Regarding Unexpected Charge for SmartSound Premium Subscription,"Dear Support Team, I hope this message finds you well. I am writing to kindly inquire about an unexpected charge of $14.99 that appeared on my PayPal account on June 18, 2024, for my SmartSound Premium subscription. I was under the impression that my subscription was set to renew at a later date, and this charge came as quite a surprise. Could you please verify if this was indeed a legitimate charge and, if so, provide some clarification as to why it occurred at this time? I would greatly appreciate any assistance you can offer in resolving this matter. Thank you so much for your time and help. Warm regards,",Billing
951,"Hey, why was I charged twice?","Yo, I just saw two charges for $7.99 on my card for HomeAudio Pro. What's up with that? Happened on June 04. Can you fix it?",Billing
952,Question about recent charge after cancellation,"Hi, I noticed I was charged $14.99 on June 24 for HomeAudio Pro, but I had canceled my subscription. Could you please check why this happened? The payment was through PayPal. Thank you for your help.",Billing
953,Double billing issue,Why was I charged twice for SmartSound Premium on June 07? Fix this now!,Billing
954,Unexpected charge of $14.99 for HomeAudio Pro on June 10,"Hello, I noticed a charge of $14.99 on my credit card on June 10 for HomeAudio Pro. I don't recall authorizing this payment. Could you please clarify what this charge is for? Was there a subscription renewal or additional service added? I'd appreciate any details about this transaction. Thank you!",Billing
955,Question about unexpected charge for Echo+ Unlimited subscription,"Hello, I noticed a charge of $14.99 on June 25 for my Echo+ Unlimited subscription, which I had previously canceled. The charge was processed through PayPal. Could you please confirm why this charge occurred and assist with a refund if applicable? Thank you for your help.",Billing
956,Question about my Echo+ Unlimited charge,"Hi, I noticed a charge of $29.99 on June 04 for my Echo+ Unlimited subscription, but it doesn't match what I expected. Could you help clarify this? The payment was taken from my bank account. Thanks!",Billing
957,Why was I charged $29.99?,What is this charge for HomeAudio Pro on June 10? This doesn't match my invoice. Fix it.,Billing
958,Question about recent charge on my account,"Dear Support Team, I hope this message finds you well. I was reviewing my recent credit card statement and noticed an unexpected charge of $29.99 on June 24 for my HomeAudio Pro subscription. I don't recall authorizing this charge, and I was wondering if you could kindly clarify what this might be for? I truly appreciate any assistance you can provide in resolving this matter. Thank you so much for your time and help. Warm regards,",Billing
959,Question about my SmartSound Premium subscription charge,"Hi, I noticed a charge of $29.99 on June 13 for my SmartSound Premium subscription, but I think there might be a mismatch with the invoice. Could you please check this for me? Thank you!",Billing
960,Why was I charged $7.99 for Echo+ Unlimited?,I just saw a $7.99 charge on June 25 for my Echo+ Unlimited subscription. This doesn't match my invoice. Why? Fix it ASAP.,Billing
961,Why was I charged after canceling Echo+ Unlimited?,"Hi, I canceled my Echo+ Unlimited subscription but still got charged $14.99 on June 14. Can you explain why this happened and how to get a refund? Also, how do I make sure this doesn't happen again?",Billing
962,,"I hope this email finds you well. I was just reviewing my recent statements and noticed something that doesn't quite add up with my SmartSound Premium subscription. I'm not entirely sure what's going on, but I think there might be a discrepancy with the charge? I would be ever so grateful if you could look into this matter at your earliest convenience. Many thanks in advance for your kind assistance.",Billing
963,Discrepancy in HomeAudio Pro subscription charge on June 11,"Hello, I noticed a discrepancy in my recent charge for the HomeAudio Pro subscription. On June 11, I was charged $7.99 via PayPal, but this doesn't match my expected invoice amount. Could you please verify this charge and clarify if there was an error? Thank you for your assistance.",Billing
964,"Hey, what's up with my Echo+ charge?","Yo, just saw a $29.99 charge on June 09 for my Echo+ Unlimited sub, but it doesn't match my PayPal invoice. What gives?",Billing
965,Confused about my SmartSound Premium charge,"Hi, I just saw a charge for $14.99 on June 26 for SmartSound Premium. I thought my subscription was billed to my bank account, but the invoice doesn't match what I expected. Can you explain what this charge is for? Also, is there a way to check my billing details? Thanks!",Billing
966,WTF IS THIS CHARGE???,I DIDN'T AUTHORIZE THIS $14.99 CHARGE ON MY BANK ACCOUNT!!! FIX THIS NOW!!!,Billing
967,Question about recent charge for Echo+ Unlimited,"Dear Support Team, I hope this message finds you well. I recently noticed a charge of $7.99 on my credit card on June 17 for my Echo+ Unlimited subscription, but there seems to be a discrepancy with the invoice. Could you kindly look into this matter and clarify the details for me? I would greatly appreciate your assistance in resolving this. Thank you so much for your time and help. Best regards,",Billing
968,Question about unexpected charge on my account,"Hi, I noticed a charge of $14.99 on June 08 for Echo+ Unlimited. I don't recall authorizing this. Could you please clarify what this is for? Thank you.",Billing
969,Unexpected $29.99 charge for Echo+ Unlimited on June 25,"Hey there, I just noticed a $29.99 charge on my bank account from you guys on June 25 for Echo+ Unlimited. I don't remember signing up for this, and it's definitely not something I authorized. Can you check what's going on and refund me if this was a mistake? Thanks!",Billing
970,Unexpected charge!,Why was I charged $14.99 on June 13? Didn't authorize this.,Billing
971,Question about my HomeAudio Pro subscription charge,"Hi, I noticed a charge of $14.99 on June 15 for my HomeAudio Pro subscription, but it doesn't match my invoice. Could you help clarify this? The payment was made via bank account.",Billing
972,Double billing for Echo+ Unlimited subscription on June 19,"Hello, I noticed that I was charged $7.99 twice for my Echo+ Unlimited subscription on June 19. The charge was made to my bank account. Could you please look into this and refund the duplicate charge? Thank you for your help.",Billing
973,Why was I charged for Echo+ Unlimited after canceling?,"I canceled my Echo+ Unlimited subscription, but I still see a charge of $29.99 on June 21. Can you explain why this happened and refund me? This is really frustrating.",Billing
974,Why was I charged twice for Echo+ Unlimited?,I noticed a double charge of $7.99 on June 23 from my bank account for Echo+ Unlimited. Can you look into this?,Billing
975,Question about recent Echo+ Unlimited charge,"Hi, I noticed a $7.99 charge on June 13 for my Echo+ Unlimited subscription, but it doesn't match what I expected. Could you help clarify this? The payment was made via bank account.",Billing
976,Inquiry Regarding Double Billing for SmartSound Premium Subscription,"Dear Support Team, I hope this message finds you well. I am writing to bring to your attention a concern regarding my SmartSound Premium subscription. On June 06, I noticed a charge of $29.99 to my bank account, which appears to be a duplicate as I was already billed for the same amount earlier this month. I kindly request your assistance in resolving this double billing issue at your earliest convenience. Please let me know if you require any additional information from my end. Thank you for your time and support. Warm regards,",Billing
977,What is this charge?,I got charged $7.99 on June 05 for Echo+ Unlimited but I don't think this is right?? Also why is it showing up weird on my bank account?,Billing
978,Question about my SmartSound Premium charge,Hi! I love your service but I noticed a $14.99 charge on June 26 after I canceled. Can you help clarify this? Thanks!,Billing
979,"Hey, what's up with this charge?","Yo, just saw a $29.99 charge on June 12 for SmartSound Premium, but I think something's off. Pretty sure my bank account wasn't supposed to get hit like that. Can you check?",Billing
980,Question about recent charge for Echo+ Unlimited,"I noticed a charge of $7.99 on June 09 for my Echo+ Unlimited subscription, which I had previously canceled. Could you please look into this?",Billing
981,Why was I charged $7.99 for Echo+ Unlimited?,I just saw a charge for $7.99 on my credit card on June 06 for Echo+ Unlimited. This doesn't match my invoice. What's going on? Fix this ASAP.,Billing
982,Double billing question?,"Hi! I love my HomeAudio Pro subscription, but I think I was charged twice on June 04 ($14.99 each). Can you check? Thanks!",Billing
983,Why was I charged twice for SmartSound Premium?,"I noticed a $29.99 charge on June 16 through PayPal, but I'm pretty sure I was already billed this month. Can you explain why this happened?",Billing
984,,OMG I love my Echo+ but what's this $29.99 charge???,Billing
985,UNWANTED CHARGE AFTER CANCELLATION - ORDER #SSP20230616,I CANCELLED MY SMARTSOUND PREMIUM SUBSCRIPTION LAST MONTH BUT YOU STILL CHARGED ME $7.99 ON JUNE 16 TO MY CREDIT CARD! THIS IS UNACCEPTABLE! I DEMAND A REFUND IMMEDIATELY AND CONFIRMATION THAT MY SUBSCRIPTION IS CANCELLED!,Billing
986,Why was I charged after canceling SmartSound Premium?,"Hi, I canceled my SmartSound Premium subscription but was still charged $7.99 on June 09 through PayPal. Can you explain why this happened and issue a refund?",Billing
987,WTF is this charge???,Echo+ Unlimited? More like Echo+ Unwanted. $14.99 just vanished. Explain.,Billing
988,Unexpected charge for HomeAudio Pro subscription,"Hi, I canceled my HomeAudio Pro subscription but was still charged $14.99 on June 26 to my credit card. Can you confirm the cancellation and refund this charge? My order number is #AH12345678. Please fix this ASAP.",Billing
989,Question about recent billing charge,"Dear Support Team, I hope this message finds you well. I recently noticed a charge on my bank account for $29.99 on June 03 for my Echo+ Unlimited subscription. However, I believe there might have been a double billing issue, as I only recall authorizing a single charge. Could you kindly look into this matter and clarify if this was indeed a mistake? I would greatly appreciate your assistance in resolving this. Thank you so much for your time and help. Best regards,",Billing
990,WTF IS THIS CHARGE???,WHY DID YOU TAKE $29.99 FROM MY CARD ON JUNE 09??? I DIDN'T AUTHORIZE THIS!!!,Billing
991,Why was I charged twice for SmartSound Premium?,I noticed a double charge of $14.99 on June 18 from my bank account. Fix this ASAP.,Billing
992,Why was I charged $7.99?,What is this charge for Echo+ Unlimited on June 03? This doesn't match my invoice. Fix it.,Billing
993,Why am I being charged twice for SmartSound Premium?,I noticed a double charge of $7.99 on June 03 through PayPal. This is the second time this has happened. Can you explain?,Billing
994,Double billing for HomeAudio Pro subscription on June 10,"Hi, I noticed I was charged $7.99 twice for my HomeAudio Pro subscription on June 10. The charge was from my bank account. Can you check and refund the duplicate charge? Thanks.",Billing
995,Double billing question?,"Hi! I love the HomeAudio Pro service, but I think I was charged twice on June 04 for $14.99. Can you check? Thanks!",Billing
996,Unwanted charge,I canceled this. Why am I still being charged?,Billing
997,Unexpected charge for HomeAudio Pro after cancellation,"Hey there, I noticed a charge of $29.99 on June 24 for HomeAudio Pro, but I already canceled my subscription last month. Can you confirm why this happened and refund me? The charge went to my bank account. Thanks!",Billing
998,Question about recent charge for Echo+ Unlimited,"Hi, I noticed a charge of $7.99 on June 06 for my Echo+ Unlimited subscription. I think I might have been double billed? Could you please check this for me? Thank you!",Billing
999,Question about recent charge for HomeAudio Pro,"Hi, I noticed a charge of $7.99 on June 03 for my HomeAudio Pro subscription, but it doesn't match my invoice. Could you clarify this? The payment was made via PayPal.",Billing
1000,OMG I LOVE IT BUT...,wrong address pls help!!!,Shipping
1001,Tracking Information Missing for EchoWave One Plus Order #98626,"Hello, I ordered the EchoWave One Plus on September 23 (Order #98626) to be shipped to the UK. I haven't received any tracking information yet, and I need this item for an upcoming event. Could you please provide an update on the shipping status? Thank you for your help!",Shipping
1002,Where's my WavePanel Touch?,"Ordered in October, still no tracking info. Germany. Fix this ASAP.",Shipping
1003,Quick question about my SoundBar Flex order,"Hi! I'm super excited about my SoundBar Flex, but I think I might have entered the wrong address when ordering. I already sent an email about this, but wanted to check if you got it. Can you help? Thanks!",Shipping
1004,Missing return label for StreamLink Hub,"Hi, I ordered a StreamLink Hub in November and need to return it. The return label is missing from the package. How do I get this sorted for a refund?",Shipping
1005,Need help with EchoWave One return,"Hi, I ordered the EchoWave One in September and need to return it. The return instructions aren't clear. Can you please send me the correct steps and confirm I'll get a refund after returning it? Thanks.",Shipping
1006,Tracking info for BassHub Pro order?,"Hi, I ordered the BassHub Pro Limited in August and haven't received any tracking info. I need it for an upcoming event. Could you check the status? Thanks!",Shipping
1007,Where is my StreamLink Hub?,I ordered a StreamLink Hub in October and it's still stuck in transit. I need this for an event. What's going on?,Shipping
1008,Tracking info for BassHub Pro order?,"Hi, I ordered a BassHub Pro on June 30 to France, but I haven't received any tracking info yet. I already sent an email about this but haven't heard back. Could you please check on this for me? Thanks!",Shipping
1009,Where is my SoundBar Flex order?,"Hi, I ordered a SoundBar Flex on April 21 to France, but I haven't received any tracking information. Could you please check on this? I need this resolved quickly.",Shipping
1010,where are my pods???,ordered these weeks ago and no tracking. just give me my money back.,Shipping
1011,,OMG I love the StreamLink Hub but I need to return it ASAP for an event and there's no label!! Help please!!,Shipping
1012,Where is my EchoWave One?,"I ordered an EchoWave One in July and it's still stuck in transit. I needed it for an event, which has now passed. Can you explain why this is taking so long?",Shipping
1013,Where's my WavePanel Touch?,No tracking info. I want to return it and get my money back.,Shipping
1014,Need help with return,I'm not sure how to return my BassHub Pro Limited. Could you please guide me?,Shipping
1015,Where's my return label for the SoundBar Flex?,"Hey, I ordered the SoundBar Flex a while back and need to return it. But I can't find the return label anywhere. Can you send it over? Also, how do I get my refund after I send it back? Thanks!",Shipping
1016,Missing return label for StreamLink Hub,"Hey, ordered a StreamLink Hub but no return label included. Need this sorted ASAP. Shipping to France. What's the deal?",Shipping
1017,Need clarification on return process for StreamLink Hub,"Hello, I recently purchased a StreamLink Hub and need to return it, but the instructions weren't clear. I already sent an email about this but haven't heard back. Could you please provide guidance? Thank you.",Shipping
1018,Where is my order?,My EchoWave One is stuck somewhere and I really need it for an event. Can you help?,Shipping
1019,Missing return label for AuraPods,"Hello, I recently ordered AuraPods and need to return them, but I can't find the return label. Could you please help me with this? I'm in Germany and would appreciate a fast resolution. Thank you!",Shipping
1020,WHERE IS MY ORDER???,I ORDERED THIS WEEKS AGO AND IT'S STILL NOT HERE!!! ALREADY EMAILED ONCE AND NO REPLY!!! FIX THIS NOW!!!,Shipping
1021,Question about my StreamLink Hub delivery,"Hello, I ordered a StreamLink Hub in March but haven't received it yet. I've already emailed about this once. Could you check the status?",Shipping
1022,Where's my PulseDock?,Still no tracking info. Already emailed once. What's the hold up?,Shipping
1023,How to return AuraPods?,Got them in February. Need to return but instructions are confusing. How do I get a refund?,Shipping
1024,Where is my PulseDock?,Hey! I ordered a PulseDock back in March and it seems to be stuck in transit. I'm in Sweden and really excited to get it! Any chance you can help speed things up? Thanks!,Shipping
1025,Incorrect Shipping Address for Order #38637 - BassHub Pro Limited,"Dear Support Team,

I hope this message finds you well. I recently placed an order for the BassHub Pro Limited (Order #38637) on September 11, which was supposed to be shipped to the Netherlands. Unfortunately, I realized that I entered the wrong shipping address. I would like to know the correct procedure to update the address or, if that's not possible, how to proceed with a return and refund.

Thank you for your assistance.

Best regards,
[Your Name]",Shipping
1026,,Great. No tracking info. Needed this for an event. Thanks for nothing.,Shipping
1027,Inquiry about SoundBar Flex Order #82295 Shipping Status,"Dear Support Team,

I placed an order for the SoundBar Flex on May 21 (Order #82295) to be shipped to Sweden. According to the tracking information, the item appears to be stuck in transit. I urgently need this item for an upcoming event. Could you please provide an update on the shipping status and estimated delivery date?

Thank you for your assistance.

Best regards,",Shipping
1028,WHERE IS MY PULSEDOCK???,I ORDERED THIS WEEKS AGO AND STILL NO TRACKING INFO! NEED IT FOR AN EVENT IN GERMANY! WHAT'S GOING ON??,Shipping
1029,SoundBar Flex Order #32904 - Still No Tracking Info,I ordered the SoundBar Flex on May 12 (order #32904) to be shipped to Germany. It's been days and I still haven't received any tracking information. I already emailed about this once and got no response. I expect better service from your company. Please provide an update immediately.,Shipping
1030,WRONG ADDRESS!!!,Already emailed about this. Need this fixed NOW.,Shipping
1031,Where's my EchoWave One?,It's been stuck for weeks. Just refund me already.,Shipping
1032,Where are my AuraPods???,Still no tracking info. Already emailed once. This is ridiculous.,Shipping
1033,Missing return label for EchoWave One Plus (Order #74294),"I ordered the EchoWave One Plus on October 11 and it arrived in Sweden, but surprise surprise, there's no return label included. I already emailed about this once and got no response. Do I need to send another email to get basic customer service?",Shipping
1034,Where's my return label?,Bought a BassHub Pro in November. Need to return it but no label. Fix this ASAP.,Shipping
1035,Missing return label for EchoWave One,"Hi, I ordered an EchoWave One in December but didn't receive a return label. I'm in Sweden and need this resolved quickly. Can you help?",Shipping
1036,WHERE ARE MY AURAPODS GEN 2???,ORDERED IN JULY AND STILL NOT HERE!! NEED THEM FOR AN EVENT!! WHAT'S THE HOLD UP??,Shipping
1037,Where's my StreamLink Hub?,"Hi! I ordered the StreamLink Hub last month and I'm super excited to get it, but I haven't received any tracking info. Can you help me out? Also, if it doesn't arrive soon, I might need to return it for a refund. Thanks!",Shipping
1038,STILL NOT FIXED!!!,I ALREADY EMAILED ABOUT THIS!!! WRONG ADDRESS ON ECHOWAVE MINI ORDER!!! FIX IT NOW!!!,Shipping
1039,Need clear return instructions for AuraPods Gen 2 (Order #30179),"Hey, I ordered the AuraPods Gen 2 on December 11 to the UK, but I need to return them. The return instructions are super unclear, and I need this sorted ASAP. Can you send me the exact steps or a return label? Thanks!",Shipping
1040,Where's my EchoWave?,Great job on the 'delivery'. Really needed it for an event. Now what?,Shipping
1041,Where is my EchoWave One Plus?,I ordered an EchoWave One Plus at the beginning of October and it's still stuck in transit. I already emailed about this once but haven't gotten any updates. Can you please check on this?,Shipping
1042,Where's my WavePanel Touch?,"So, I ordered this WavePanel Touch thing back in July, and guess what? No tracking info. Shocking, right? I'm in France, not on Mars. How about some updates? Preferably before I retire.",Shipping
1043,Wrong address for my BassHub Pro order?,Hi! I'm so excited about my BassHub Pro Limited but I think it was sent to the wrong address. I already emailed about this once. Can you help? Thanks!,Shipping
1044,Question about my BassHub Pro order,"Hello, I think there might be an issue with the shipping address for my BassHub Pro order. I placed the order in July and it's supposed to go to Germany. Could you please check this for me? I'd really appreciate a quick resolution.",Shipping
1045,Where are my AuraPods???,Still not here. Need refund.,Shipping
1046,Where's my EchoWave Mini?,"Ordered in July, still no tracking info. Need it ASAP for an event. What's the hold up?",Shipping
1047,"Oh great, where's my return label?","So I bought a StreamLink Hub back in July and surprise surprise, it's not working. Tried to return it but guess what? No return label. And yes, I already emailed about this. Can we maybe, I don't know, fix this?",Shipping
1048,Tracking Information Missing for SoundBar Flex Order #89718,"Hi there! I'm so excited about my new SoundBar Flex and can't wait to get it! I placed my order on December 08 to be shipped to the Netherlands, but I haven't received any tracking information yet. Could you please check on this for me? I'd really appreciate a fast resolution so I can start enjoying my new soundbar. Thank you so much!",Shipping
1049,Wrong shipping address for BassHub Pro Limited - Order #73200,"Hello, I ordered the BassHub Pro Limited on July 04 (Order #73200) to Germany, but I just realized I entered the wrong shipping address. The item is needed for an upcoming event, so I would appreciate any help in correcting the address as soon as possible. Please let me know what steps I should take to resolve this. Thank you!",Shipping
1050,WavePanel Touch shipping delay?,Ordered in September to UK. Still stuck in transit. Already emailed once. What's going on?,Shipping
1051,Where's my BassHub Pro?,"Ordered in July, no tracking info. Need it for an event soon. What's going on?",Shipping
1052,Inquiry about my BassHub Pro order status,"Dear Support Team, I hope this message finds you well. I recently placed an order for the BassHub Pro, which was supposed to be delivered to Germany. However, it seems to be stuck in transit, and I haven't received any updates. I was wondering if you could provide some clarity on the situation? Additionally, I would like to inquire about the possibility of a refund if the item doesn't arrive soon. Thank you so much for your assistance, and I truly appreciate your time and help. Best regards,",Shipping
1053,Missing return label for StreamLink Hub,"Hi, I ordered a StreamLink Hub in August and need to return it, but the return label is missing. I already emailed about this once. Can you help?",Shipping
1054,Incorrect Shipping Address for Order #33697 - EchoWave One Plus,"Dear Support Team,

I hope this message finds you well. I placed an order for the EchoWave One Plus on June 30 (Order #33697) to be shipped to France. Unfortunately, I realized that I provided the wrong shipping address. I already sent an email about this issue, but I haven't received a response yet. Could you please assist me in updating the shipping details before the package is dispatched?

Thank you for your help.

Best regards,
[Your Name]",Shipping
1055,What kind of puzzle is this?,"Great. Just great. Got the StreamLink Hub, now how do I return it? Your 'instructions' are about as clear as mud. And fast would be nice, thanks.",Shipping
1056,Unclear return instructions for BassHub Pro Limited (Order #44397),"I ordered the BassHub Pro Limited on July 10 to the UK and need to return it. Your return instructions are completely unclear. I already emailed once and got no proper response. Send me clear, step-by-step return instructions immediately. This is unacceptable.",Shipping
1057,WRONG ADDRESS ON ORDER #72453 - ECHOWAVE ONE PLUS,I ORDERED THE ECHOWAVE ONE PLUS ON JULY 14 (ORDER #72453) TO THE NETHERLANDS BUT YOU SENT IT TO THE WRONG ADDRESS!!! I WANT A REFUND AFTER RETURNING THIS. FIX THIS NOW!!!,Shipping
1058,Question about my BassHub Pro Limited order,"Hello, I placed an order for the BassHub Pro Limited in February but haven't received any tracking information yet. I already sent an email about this but haven't heard back. Could you please provide an update on the shipping status?",Shipping
1059,Missing return label for PulseDock order #49247,"Hello, I ordered a PulseDock on August 21 (order #49247) to Germany and need to return it. However, the return label is missing from the package. I already emailed about this once but haven't received a response. Could you please send me the return label? Thank you for your help!",Shipping
1060,Where's my EchoWave One Plus?,"Ordered in June, still no tracking info. Already emailed about this. What's going on?",Shipping
1061,Update on SoundBar Flex Order #41906 - Stuck in Transit,"Hi there! I'm so excited about my SoundBar Flex that I ordered on January 20 (order #41906) to France. I already emailed once about this, but I wanted to check if there's any update on why it's stuck in transit. I can't wait to get my hands on it! Thanks for your help!",Shipping
1062,EchoWave One Plus shipping delay?,"Hi, I ordered an EchoWave One Plus in April and it seems to be stuck in transit to France. I already emailed about this once but haven't heard back. Could you check on the status?",Shipping
1063,Wrong delivery address for SoundBar Flex,"Hi, I ordered a SoundBar Flex in December but it was sent to the wrong address. I already emailed about this once but haven't heard back. Could you please help correct this?",Shipping
1064,Could you kindly clarify the return process for my EchoWave One?,"Dear Support Team, I hope this message finds you well. I recently purchased an EchoWave One and unfortunately need to return it, but I'm finding the return instructions rather unclear. I believe I already sent an email about this, but I haven't received a response yet. Could you please provide some guidance? I would be ever so grateful for your assistance. Many thanks in advance for your help!",Shipping
1065,Missing label!,Need return label ASAP. Event coming up.,Shipping
1066,Loving my EchoWave One Plus but need address help!,"Hi there! I'm so excited about my EchoWave One Plus, but I think the shipping address might be wrong. Can you help me sort this out? Also, how do I get a refund after returning it? Thanks!",Shipping
1067,Missing Tracking Information for PulseDock Order #79765,"Hello, I placed an order for the PulseDock on July 20 (Order #79765) to be shipped to the UK. However, I haven't received any tracking information yet. Could you please provide an update on the shipping status? Additionally, I would like to inquire about the return process and refund options if the product doesn't meet my expectations. Thank you for your assistance.",Shipping
1068,WavePanel Touch order #62740 stuck in transit,"Hey there, so I ordered a WavePanel Touch on April 16 (order #62740) to Sweden, and it's just stuck in transit. This is kinda urgent—I really need a fast resolution. Can you check what's up? Thanks!",Shipping
1069,Missing return label!!!,Need help. Where's the return label? Want refund ASAP.,Shipping
1070,Need help with EchoWave Mini return,"Hi, I recently purchased an EchoWave Mini and need to return it, but the instructions weren't clear. I already sent an email about this but haven't heard back. Could you please guide me through the process? Thanks!",Shipping
1071,Regarding my StreamLink Hub order - missing return label?,"Dear Support Team, I hope this message finds you well. I recently purchased a StreamLink Hub and unfortunately need to return it, but I seem to be missing the return label. I believe I already sent an email about this, but haven't received a response yet. Could you kindly assist me with this matter? Thank you so much for your help in advance. Best regards,",Shipping
1072,Inquiry Regarding Undelivered SoundBar Flex (Order #33061),"Dear Support Team, I hope this message finds you well. I am writing to kindly inquire about the status of my order #33061 for the SoundBar Flex, which was placed on June 29 and destined for the Netherlands. Unfortunately, I have not yet received the product, and I am quite concerned about this delay. I would greatly appreciate any updates or assistance you could provide regarding the delivery status. Additionally, if the product cannot be delivered, I would like to request a refund after its return. Thank you so much for your time and assistance. Warm regards,",Shipping
1073,How do I return this damn thing?,Got the BassHub Pro Limited but your return instructions are garbage. Need a solution ASAP.,Shipping
1074,Need help with return instructions for EchoWave Mini,"Hi, I recently purchased an EchoWave Mini and need to return it, but the instructions aren't clear. I've already sent an email about this but haven't heard back. Could you please help me with the return process? Thank you.",Shipping
1075,Missing return label for BassHub Pro (Order #42354),"Hi there,

I ordered the BassHub Pro on July 14 and received it in Sweden, but I need to return it. However, the return label is missing from the package. I already emailed about this once but haven't received a response. Could you please send me the return label or instructions on how to proceed?

Thanks for your help!",Shipping
1076,Missing return label for BassHub Pro Limited (Order #64012),"Hi there,

I ordered the BassHub Pro Limited on March 03 (Order #64012) to Sweden. I need to return the item, but the return label is missing from the package. I already emailed about this once but haven't received a response. Could you please send me the return label as soon as possible?

Thanks for your help!",Shipping
1077,Where's my return label?,"Hey, I ordered the EchoWave One Plus a while back and need to return it. Can't find the return label anywhere. Can you help me out ASAP? Thanks!",Shipping
1078,Need help with return instructions for BassHub Pro,"Hi, I ordered the BassHub Pro Limited in November and need to return it. The instructions weren't clear, and I already emailed once but haven't heard back. Could you please clarify the process? Thanks!",Shipping
1079,Still waiting...,"Guess my PulseDock is on a world tour? Wrong address, already told you. This is fun.",Shipping
1080,Where is my EchoWave One Plus?,I ordered my EchoWave One Plus in July and still haven't received any tracking info. This is unacceptable. I want to return it and get a refund immediately. What's going on?,Shipping
1081,Where is my order???,No tracking info. Already emailed once. This is ridiculous.,Shipping
1082,Where's my return label?,"Oh wow, my StreamLink Hub arrived, but guess what's missing? The return label. Classic. I'm in Germany and need this sorted ASAP. Thanks for the 'great' service.",Shipping
1083,Where is my order???,EchoWave One Plus not here. Needed it for an event. WTF??,Shipping
1084,Inquiry Regarding Order #65486 - SoundBar Flex Stuck in Transit,"Dear Support Team, I hope this message finds you well. I am writing to kindly inquire about the status of my order #65486 for the SoundBar Flex, which was placed on December 05 and is destined for the Netherlands. According to the tracking information, the package appears to be stuck in transit, and I was wondering if you could provide any updates or assistance in resolving this matter. I would greatly appreciate any help in expediting this process, as I am eagerly awaiting the arrival of my order. Thank you so much for your time and attention to this matter. Warm regards,",Shipping
1085,Where is my BassHub Pro Limited order?,I ordered the BassHub Pro Limited in October and still haven't received any tracking info. I already emailed about this once. Can you please check on the status? Shipping to Sweden.,Shipping
1086,WHERE IS MY RETURN LABEL???,I ORDERED THE BASSHUB PRO IN JULY AND NEED TO RETURN IT BUT THERE'S NO LABEL! I WANT MY MONEY BACK!,Shipping
1087,Could you kindly assist with my BassHub Pro Limited order?,"Dear Support Team, I hope this message finds you well. I am writing to inquire about my BassHub Pro Limited order which seems to be stuck in transit. I understand that shipping can sometimes encounter delays, but I was wondering if you might be able to provide any updates or assistance regarding this matter? Additionally, I would like to know about the possibility of a refund should I need to return the item. Your help would be greatly appreciated. Thank you so much for your time and understanding. Warm regards,",Shipping
1088,HOW DO I RETURN THIS ECHOWAVE MINI???,YOUR RETURN INSTRUCTIONS MAKE NO SENSE! I'M IN SWEDEN AND WANT MY MONEY BACK. WHAT'S THE PROCESS??,Shipping
1089,Where is my order?,Need help! No tracking info and I need it for an event.,Shipping
1090,Order #34676 - BassHub Pro Limited stuck in transit,"Hello, I placed an order for the BassHub Pro Limited on December 28 (order #34676) to be shipped to Germany. The tracking shows it's been stuck in transit for several days now. I'm concerned about the delay and would appreciate any updates or assistance to resolve this quickly. Thank you for your help!",Shipping
1091,Could you kindly assist with my AuraPods order?,"Dear Support Team, I hope this message finds you well. I am writing to inquire about the status of my AuraPods order, which was placed in early October and was supposed to be delivered to Sweden. Unfortunately, it hasn't arrived yet, and I was wondering if you could provide any updates or assistance in resolving this matter promptly. I would greatly appreciate your help in ensuring a fast resolution. Thank you so much for your time and support. Warm regards,",Shipping
1092,Still waiting for response!,I need return instructions NOW. This is unacceptable.,Shipping
1093,Where is my order?,I ordered an EchoWave Mini but haven't received any tracking info. I'm really worried. Can you help?,Shipping
1094,Need clear return instructions for EchoWave Mini (Order #98373),"Hello, I ordered an EchoWave Mini on July 09 (Order #98373) to Germany. I need to return it, but the instructions provided are unclear. Could you please send me detailed steps for the return process? I would appreciate a fast resolution. Thank you!",Shipping
1095,Need return instructions for SoundBar Flex,How do I return this? Want refund. Bought in September. Shipping to Sweden.,Shipping
1096,Order #34824 for AuraPods not delivered to Germany,"Hello, I placed an order for AuraPods on September 28 (order #34824) to be delivered to Germany. The package has not arrived yet, and I already emailed about this once before. Could you please check the status and provide an update? Thank you.",Shipping
1097,Urgent: EchoWave One Order #97989 Stuck in Transit,"My EchoWave One (Order #97989, placed December 30) is stuck in transit to France. I need this item urgently for an event. What is the status? When will it arrive? This delay is unacceptable. Provide immediate resolution.",Shipping
1098,WHERE IS MY RETURN LABEL FOR THE BASSHUB PRO???,I ORDERED THIS IN SEPTEMBER AND NEED TO RETURN IT BUT THERE'S NO LABEL. I WANT MY MONEY BACK ASAP!,Shipping
1099,Where is my EchoWave One?,"Hi, I ordered an EchoWave One in July but it hasn't arrived yet. I'm in Germany. Can you check what's going on? I really need this sorted quickly.",Shipping
